ENSEMBL,SYMBOL,GENENAME
ENSMUSG00000058135,Gstm1,"glutathione S-transferase, mu 1"
ENSMUSG00000027890,Gstm4,"glutathione S-transferase, mu 4"
ENSMUSG00000027889,Ampd2,adenosine monophosphate deaminase 2
ENSMUSG00000056411,Gm12500,predicted gene 12500
ENSMUSG00000009108,Gnat2,G protein subunit alpha transducin 2
ENSMUSG00000000001,Gnai3,"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
ENSMUSG00000046793,Gpr61,G protein-coupled receptor 61
ENSMUSG00000050947,Amigo1,adhesion molecule with Ig like domain 1
ENSMUSG00000048796,Cyb561d1,cytochrome b-561 domain containing 1
ENSMUSG00000048997,Atxn7l2,ataxin 7-like 2
ENSMUSG00000027887,Sypl2,synaptophysin-like 2
ENSMUSG00000105961,NA,NA
ENSMUSG00000068749,Psma5,proteasome subunit alpha 5
ENSMUSG00000068747,Sort1,sortilin 1
ENSMUSG00000068744,Psrc1,proline/serine-rich coiled-coil 1
ENSMUSG00000068740,Celsr2,"cadherin, EGF LAG seven-pass G-type receptor 2"
ENSMUSG00000068739,Sars,seryl-aminoacyl-tRNA synthetase
ENSMUSG00000040412,Elapor1,endosome-lysosome associated apoptosis and autophagy regulator 1
ENSMUSG00000103761,NA,NA
ENSMUSG00000088185,NA,NA
ENSMUSG00000068732,Tmem167b,transmembrane protein 167B
ENSMUSG00000048100,Taf13,TATA-box binding protein associated factor 13
ENSMUSG00000040389,Wdr47,WD repeat domain 47
ENSMUSG00000027884,Clcc1,chloride channel CLIC-like 1
ENSMUSG00000027883,Gpsm2,"G-protein signalling modulator 2 (AGS3-like, C. elegans)"
ENSMUSG00000027882,Stxbp3,syntaxin binding protein 3
ENSMUSG00000045326,Fndc7,fibronectin type III domain containing 7
ENSMUSG00000027881,Prpf38b,PRP38 pre-mRNA processing factor 38 (yeast) domain containing B
ENSMUSG00000040339,Eeig2,EEIG family member 2
ENSMUSG00000105139,NA,NA
ENSMUSG00000040322,Slc25a24,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24"
ENSMUSG00000033721,Vav3,vav 3 oncogene
ENSMUSG00000049300,Prmt6,protein arginine N-methyltransferase 6
ENSMUSG00000105509,NA,NA
ENSMUSG00000106666,NA,NA
ENSMUSG00000074264,Amy1,"amylase 1, salivary"
ENSMUSG00000027981,Rnpc3,"RNA-binding region (RNP1, RRM) containing 3"
ENSMUSG00000027966,Col11a1,"collagen, type XI, alpha 1"
ENSMUSG00000045092,S1pr1,sphingosine-1-phosphate receptor 1
ENSMUSG00000054426,A930005H10Rik,RIKEN cDNA A930005H10 gene
ENSMUSG00000033554,Dph5,diphthamide biosynthesis 5
ENSMUSG00000054414,Slc30a7,"solute carrier family 30 (zinc transporter), member 7"
ENSMUSG00000027963,Extl2,exostosin-like glycosyltransferase 2
ENSMUSG00000027962,Vcam1,vascular cell adhesion molecule 1
ENSMUSG00000105729,NA,NA
ENSMUSG00000068696,Gpr88,G-protein coupled receptor 88
ENSMUSG00000033502,Cdc14a,CDC14 cell division cycle 14A
ENSMUSG00000000339,Rtca,RNA 3'-terminal phosphate cyclase
ENSMUSG00000097737,NA,NA
ENSMUSG00000000340,Dbt,dihydrolipoamide branched chain transacylase E2
ENSMUSG00000082394,NA,NA
ENSMUSG00000034437,NA,NA
ENSMUSG00000027961,Lrrc39,leucine rich repeat containing 39
ENSMUSG00000106025,NA,NA
ENSMUSG00000033439,Trmt13,tRNA methyltransferase 13
ENSMUSG00000027959,Sass6,SAS-6 centriolar assembly protein
ENSMUSG00000089911,Mfsd14a,major facilitator superfamily domain containing 14A
ENSMUSG00000027957,Slc35a3,"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3"
ENSMUSG00000033400,Agl,"amylo-1,6-glucosidase, 4-alpha-glucanotransferase"
ENSMUSG00000033386,Frrs1,ferric-chelate reductase 1
ENSMUSG00000033377,Palmd,palmdelphin
ENSMUSG00000033342,Plppr5,phospholipid phosphatase related 5
ENSMUSG00000028007,Snx7,sorting nexin 7
ENSMUSG00000033308,Dpyd,dihydropyrimidine dehydrogenase
ENSMUSG00000106037,Gm4332,ribosomal protein S20 pseudogene
ENSMUSG00000028134,Ptbp2,polypyrimidine tract binding protein 2
ENSMUSG00000105572,NA,NA
ENSMUSG00000106099,NA,NA
ENSMUSG00000028133,Rwdd3,RWD domain containing 3
ENSMUSG00000028132,Tlcd4,TLC domain containing 4
ENSMUSG00000039887,Alg14,asparagine-linked glycosylation 14
ENSMUSG00000053931,Cnn3,"calponin 3, acidic"
ENSMUSG00000106022,NA,NA
ENSMUSG00000039865,Slc44a3,"solute carrier family 44, member 3"
ENSMUSG00000097124,Gm38684,"predicted gene, 38684"
ENSMUSG00000044522,A730020M07Rik,RIKEN cDNA A730020M07 gene
ENSMUSG00000106224,NA,NA
ENSMUSG00000028128,F3,coagulation factor III
ENSMUSG00000028127,Abcd3,"ATP-binding cassette, sub-family D (ALD), member 3"
ENSMUSG00000106087,NA,NA
ENSMUSG00000105597,NA,NA
ENSMUSG00000039831,Arhgap29,Rho GTPase activating protein 29
ENSMUSG00000078592,Gm4609,glyceraldehyde-3-phosphate dehydrogenase pseudogene
ENSMUSG00000028124,Gclm,"glutamate-cysteine ligase, modifier subunit"
ENSMUSG00000057359,NA,NA
ENSMUSG00000039756,Dnttip2,"deoxynucleotidyltransferase, terminal, interacting protein 2"
ENSMUSG00000028121,Bcar3,breast cancer anti-estrogen resistance 3
ENSMUSG00000039735,Fnbp1l,formin binding protein 1-like
ENSMUSG00000106365,Gm43568,predicted gene 43568
ENSMUSG00000053965,Pde5a,"phosphodiesterase 5A, cGMP-specific"
ENSMUSG00000106583,4930447N08Rik,RIKEN cDNA 4930447N08 gene
ENSMUSG00000097852,4933405D12Rik,RIKEN cDNA 4933405D12 gene
ENSMUSG00000023057,Fabp2,"fatty acid binding protein 2, intestinal"
ENSMUSG00000054091,1810037I17Rik,RIKEN cDNA 1810037I17 gene
ENSMUSG00000039701,Usp53,ubiquitin specific peptidase 53
ENSMUSG00000050315,Synpo2,synaptopodin 2
ENSMUSG00000039234,Sec24d,"Sec24 related gene family, member D (S. cerevisiae)"
ENSMUSG00000028114,Mettl14,methyltransferase like 14
ENSMUSG00000105784,NA,NA
ENSMUSG00000027978,Prss12,"protease, serine 12 neurotrypsin (motopsin)"
ENSMUSG00000104960,Snhg8,small nucleolar RNA host gene 8
ENSMUSG00000027977,Ndst3,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3
ENSMUSG00000044528,Tram1l1,translocation associated membrane protein 1-like 1
ENSMUSG00000096544,NA,NA
ENSMUSG00000027971,Ndst4,N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4
ENSMUSG00000053819,Camk2d,"calcium/calmodulin-dependent protein kinase II, delta"
ENSMUSG00000106475,NA,NA
ENSMUSG00000032826,Ank2,"ankyrin 2, brain"
ENSMUSG00000027968,Larp7,"La ribonucleoprotein 7, transcriptional regulator"
ENSMUSG00000051278,Zgrf1,"zinc finger, GRF-type containing 1"
ENSMUSG00000028028,Alpk1,alpha-kinase 1
ENSMUSG00000089988,Gm16238,ribosomal protein L19 pseudogene
ENSMUSG00000046688,Tifa,TRAF-interacting protein with forkhead-associated domain
ENSMUSG00000074238,Ap1ar,adaptor-related protein complex 1 associated regulatory protein
ENSMUSG00000105804,NA,NA
ENSMUSG00000105447,NA,NA
ENSMUSG00000050549,Fam241a,"family with sequence similarity 241, member A"
ENSMUSG00000074236,NA,NA
ENSMUSG00000028023,Pitx2,paired-like homeodomain transcription factor 2
ENSMUSG00000106078,NA,NA
ENSMUSG00000028024,Enpep,glutamyl aminopeptidase
ENSMUSG00000106417,NA,NA
ENSMUSG00000105837,Gm35986,"predicted gene, 35986"
ENSMUSG00000041220,Elovl6,"ELOVL family member 6, elongation of long chain fatty acids (yeast)"
ENSMUSG00000028017,Egf,epidermal growth factor
ENSMUSG00000028010,Gar1,GAR1 ribonucleoprotein
ENSMUSG00000058952,Cfi,complement component factor i
ENSMUSG00000027999,Pla2g12a,"phospholipase A2, group XIIA"
ENSMUSG00000027997,Casp6,caspase 6
ENSMUSG00000027994,Mcub,mitochondrial calcium uniporter dominant negative beta subunit
ENSMUSG00000001052,Sec24b,"Sec24 related gene family, member B (S. cerevisiae)"
ENSMUSG00000063328,Gm9396,predicted gene 9396
ENSMUSG00000058897,Col25a1,"collagen, type XXV, alpha 1"
ENSMUSG00000019232,Etnppl,ethanolamine phosphate phospholyase
ENSMUSG00000041084,Ostc,oligosaccharyltransferase complex subunit (non-catalytic)
ENSMUSG00000062006,Rpl34,ribosomal protein L34
ENSMUSG00000062006,Rpl34-ps1,"ribosomal protein L34, pseudogene 1"
ENSMUSG00000106095,NA,NA
ENSMUSG00000104557,NA,NA
ENSMUSG00000105558,NA,NA
ENSMUSG00000027985,Lef1,lymphoid enhancer binding factor 1
ENSMUSG00000027984,Hadh,hydroxyacyl-Coenzyme A dehydrogenase
ENSMUSG00000027983,Cyp2u1,"cytochrome P450, family 2, subfamily u, polypeptide 1"
ENSMUSG00000097761,NA,NA
ENSMUSG00000050931,Sgms2,sphingomyelin synthase 2
ENSMUSG00000028032,Papss1,3'-phosphoadenosine 5'-phosphosulfate synthase 1
ENSMUSG00000028031,Dkk2,dickkopf WNT signaling pathway inhibitor 2
ENSMUSG00000091721,Gimd1,GIMAP family P-loop NTPase domain containing 1
ENSMUSG00000028029,Aimp1,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
ENSMUSG00000028030,Tbck,TBC1 domain containing kinase
ENSMUSG00000106499,Gm9403,"heat shock protein 90 alpha (cytosolic), class B member 1 pseudogene"
ENSMUSG00000040998,Npnt,nephronectin
ENSMUSG00000028018,Gstcd,"glutathione S-transferase, C-terminal domain containing"
ENSMUSG00000028016,Ints12,integrator complex subunit 12
ENSMUSG00000040969,Arhgef38,Rho guanine nucleotide exchange factor (GEF) 38
ENSMUSG00000105957,NA,NA
ENSMUSG00000028013,Ppa2,pyrophosphatase (inorganic) 2
ENSMUSG00000040943,Tet2,tet methylcytosine dioxygenase 2
ENSMUSG00000044365,Cxxc4,CXXC finger 4
ENSMUSG00000028172,Tacr3,tachykinin receptor 3
ENSMUSG00000045328,Cenpe,centromere protein E
ENSMUSG00000028167,Bdh2,"3-hydroxybutyrate dehydrogenase, type 2"
ENSMUSG00000050150,Slc9b1,"solute carrier family 9, subfamily B (NHA1, cation proton antiporter 1), member 1"
ENSMUSG00000028165,Cisd2,CDGSH iron sulfur domain 2
ENSMUSG00000105981,NA,NA
ENSMUSG00000105449,NA,NA
ENSMUSG00000097032,4930539J05Rik,RIKEN cDNA 4930539J05 gene
ENSMUSG00000078578,Ube2d3,ubiquitin-conjugating enzyme E2D 3
ENSMUSG00000028164,Manba,"mannosidase, beta A, lysosomal"
ENSMUSG00000083610,NA,NA
ENSMUSG00000028163,Nfkb1,"nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105"
ENSMUSG00000053897,Slc39a8,"solute carrier family 39 (metal ion transporter), member 8"
ENSMUSG00000106290,NA,NA
ENSMUSG00000037922,Bank1,B cell scaffold protein with ankyrin repeats 1
ENSMUSG00000028161,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform"
ENSMUSG00000054690,Emcn,endomucin
ENSMUSG00000046818,Ddit4l,DNA-damage-inducible transcript 4-like
ENSMUSG00000037894,H2az1,H2A.Z variant histone 1
ENSMUSG00000074212,Dnajb14,DnaJ heat shock protein family (Hsp40) member B14
ENSMUSG00000105748,NA,NA
ENSMUSG00000091512,Lamtor3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3"
ENSMUSG00000028159,Dapp1,dual adaptor for phosphotyrosine and 3-phosphoinositides 1
ENSMUSG00000049349,Gm5105,predicted gene 5105
ENSMUSG00000090066,1110002E22Rik,RIKEN cDNA 1110002E22 gene
ENSMUSG00000028158,Mttp,microsomal triglyceride transfer protein
ENSMUSG00000104776,NA,NA
ENSMUSG00000004127,Trmt10a,tRNA methyltransferase 10A
ENSMUSG00000055301,Adh7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
ENSMUSG00000074207,Adh1,alcohol dehydrogenase 1 (class I)
ENSMUSG00000089635,NA,NA
ENSMUSG00000053054,Adh6a,alcohol dehydrogenase 6A (class V)
ENSMUSG00000037797,Adh4,"alcohol dehydrogenase 4 (class II), pi polypeptide"
ENSMUSG00000028138,Adh5,"alcohol dehydrogenase 5 (class III), chi polypeptide"
ENSMUSG00000005813,Metap1,methionyl aminopeptidase 1
ENSMUSG00000028156,Eif4e,eukaryotic translation initiation factor 4E
ENSMUSG00000028152,Tspan5,tetraspanin 5
ENSMUSG00000028149,Rap1gds1,"RAP1, GTP-GDP dissociation stimulator 1"
ENSMUSG00000106574,Gm2451,glyceraldehyde-3-phosphate dehydrogenase pseudogene
ENSMUSG00000059921,Unc5c,unc-5 netrin receptor C
ENSMUSG00000052430,Bmpr1b,"bone morphogenetic protein receptor, type 1B"
ENSMUSG00000028273,Pdlim5,PDZ and LIM domain 5
ENSMUSG00000105504,Gbp5,guanylate binding protein 5
ENSMUSG00000040253,Gbp7,guanylate binding protein 7
ENSMUSG00000028268,Gbp3,guanylate binding protein 3
ENSMUSG00000040264,Gbp2b,guanylate binding protein 2b
ENSMUSG00000028270,Gbp2,guanylate binding protein 2
ENSMUSG00000040213,Kyat3,kynurenine aminotransferase 3
ENSMUSG00000028271,Gtf2b,general transcription factor IIB
ENSMUSG00000004591,Pkn2,protein kinase N2
ENSMUSG00000087795,Gm25965,"predicted gene, 25965"
ENSMUSG00000097858,NA,NA
ENSMUSG00000078162,Gm2574,glyceraldehyde-3-phosphate dehydrogenase pseudogene
ENSMUSG00000028266,Lmo4,LIM domain only 4
ENSMUSG00000104969,NA,NA
ENSMUSG00000040151,Hs2st1,heparan sulfate 2-O-sulfotransferase 1
ENSMUSG00000037072,Selenof,selenoprotein F
ENSMUSG00000037062,Sh3glb1,SH3-domain GRB2-like B1 (endophilin)
ENSMUSG00000056025,Clca3a1,chloride channel accessory 3A1
ENSMUSG00000104841,NA,NA
ENSMUSG00000028262,Clca3a2,chloride channel accessory 3A2
ENSMUSG00000037033,Clca3b,chloride channel accessory 3B
ENSMUSG00000089950,Gm16215,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 pseudogene"
ENSMUSG00000074196,NA,NA
ENSMUSG00000074195,Clca4b,chloride channel accessory 4B
ENSMUSG00000085773,NA,NA
ENSMUSG00000068547,Clca4a,chloride channel accessory 4A
ENSMUSG00000106361,NA,NA
ENSMUSG00000028255,Clca1,chloride channel accessory 1
ENSMUSG00000036960,Clca2,chloride channel accessory 2
ENSMUSG00000028256,Odf2l,outer dense fiber of sperm tails 2-like
ENSMUSG00000028197,Col24a1,"collagen, type XXIV, alpha 1"
ENSMUSG00000074182,Znhit6,"zinc finger, HIT type 6"
ENSMUSG00000028195,Ccn1,cellular communication network factor 1
ENSMUSG00000097183,NA,NA
ENSMUSG00000028194,Ddah1,dimethylarginine dimethylaminohydrolase 1
ENSMUSG00000105388,Rpl36a-ps2,"ribosomal protein L36A, pseudogene 2"
ENSMUSG00000028191,Bcl10,B cell leukemia/lymphoma 10
ENSMUSG00000036873,2410004B18Rik,RIKEN cDNA 2410004B18 gene
ENSMUSG00000036863,Syde2,"synapse defective 1, Rho GTPase, homolog 2 (C. elegans)"
ENSMUSG00000043020,Dnai3,dynein axonemal intermediate chain 3
ENSMUSG00000036853,Mcoln3,mucolipin 3
ENSMUSG00000011008,Mcoln2,mucolipin 2
ENSMUSG00000036832,Lpar3,lysophosphatidic acid receptor 3
ENSMUSG00000036825,Ssx2ip,"synovial sarcoma, X 2 interacting protein"
ENSMUSG00000028189,Ctbs,chitobiase
ENSMUSG00000028188,Spata1,spermatogenesis associated 1
ENSMUSG00000068523,Gng5,G protein subunit gamma 5
ENSMUSG00000028187,Rpf1,ribosome production factor 1 homolog
ENSMUSG00000028186,Uox,urate oxidase
ENSMUSG00000005034,Prkacb,"protein kinase, cAMP dependent, catalytic, beta"
ENSMUSG00000070343,Gm10288,ribosomal protein L11 pseudogene
ENSMUSG00000036745,Ttll7,"tubulin tyrosine ligase-like family, member 7"
ENSMUSG00000028184,Adgrl2,adhesion G protein-coupled receptor L2
ENSMUSG00000047676,Rpsa-ps10,"ribosomal protein SA, pseudogene 10"
ENSMUSG00000105779,NA,NA
ENSMUSG00000039167,Adgrl4,adhesion G protein-coupled receptor L4
ENSMUSG00000028037,Ifi44,interferon-induced protein 44
ENSMUSG00000028036,Ptgfr,prostaglandin F receptor
ENSMUSG00000039131,Gipc2,"GIPC PDZ domain containing family, member 2"
ENSMUSG00000097293,NA,NA
ENSMUSG00000028035,Dnajb4,DnaJ heat shock protein family (Hsp40) member B4
ENSMUSG00000028034,Fubp1,far upstream element (FUSE) binding protein 1
ENSMUSG00000039103,Nexn,nexilin
ENSMUSG00000104621,NA,NA
ENSMUSG00000054942,Miga1,mitoguardin 1
ENSMUSG00000025437,Usp33,ubiquitin specific peptidase 33
ENSMUSG00000104822,NA,NA
ENSMUSG00000105710,NA,NA
ENSMUSG00000104546,NA,NA
ENSMUSG00000104548,NA,NA
ENSMUSG00000039068,Zzz3,"zinc finger, ZZ domain containing 3"
ENSMUSG00000039047,Pigk,"phosphatidylinositol glycan anchor biosynthesis, class K"
ENSMUSG00000052544,St6galnac3,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"
ENSMUSG00000038975,Rabggtb,"Rab geranylgeranyl transferase, b subunit"
ENSMUSG00000065738,Gm24494,"predicted gene, 24494"
ENSMUSG00000062908,Acadm,"acyl-Coenzyme A dehydrogenase, medium chain"
ENSMUSG00000028360,Slc44a5,"solute carrier family 44, member 5"
ENSMUSG00000047583,Tyw3,tRNA-yW synthesizing protein 3 homolog (S. cerevisiae)
ENSMUSG00000028199,Cryz,"crystallin, zeta"
ENSMUSG00000053870,Fpgt,fucose-1-phosphate guanylyltransferase
ENSMUSG00000040037,Negr1,neuronal growth regulator 1
ENSMUSG00000028180,Zranb2,"zinc finger, RAN-binding domain containing 2"
ENSMUSG00000065431,Mir186,microRNA 186
ENSMUSG00000040016,Ptger3,prostaglandin E receptor 3 (subtype EP3)
ENSMUSG00000028179,Cth,cystathionase (cystathionine gamma-lyase)
ENSMUSG00000104528,NA,NA
ENSMUSG00000039988,Ankrd13c,ankyrin repeat domain 13c
ENSMUSG00000105643,NA,NA
ENSMUSG00000055436,Srsf11,serine and arginine-rich splicing factor 11
ENSMUSG00000105201,NA,NA
ENSMUSG00000063052,Lrrc40,leucine rich repeat containing 40
ENSMUSG00000028175,Depdc1a,DEP domain containing 1a
ENSMUSG00000028173,Wls,wntless WNT ligand secretion mediator
ENSMUSG00000085180,NA,NA
ENSMUSG00000028232,Tmem68,transmembrane protein 68
ENSMUSG00000028233,Tgs1,trimethylguanosine synthase 1
ENSMUSG00000042228,Lyn,"LYN proto-oncogene, Src family tyrosine kinase"
ENSMUSG00000055216,NA,NA
ENSMUSG00000028234,Rps20,ribosomal protein S20
ENSMUSG00000003282,Plag1,pleiomorphic adenoma gene 1
ENSMUSG00000042198,Chchd7,coiled-coil-helix-coiled-coil-helix domain containing 7
ENSMUSG00000068240,Gm11808,ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene
ENSMUSG00000028236,Sdr16c5,"short chain dehydrogenase/reductase family 16C, member 5"
ENSMUSG00000045573,Penk,preproenkephalin
ENSMUSG00000066324,Bpnt2,"3'(2'), 5'-bisphosphate nucleotidase 2"
ENSMUSG00000049119,Fam110b,"family with sequence similarity 110, member B"
ENSMUSG00000028243,Ubxn2b,UBX domain protein 2B
ENSMUSG00000028249,Sdcbp,syndecan binding protein
ENSMUSG00000104347,NA,NA
ENSMUSG00000028245,Nsmaf,neutral sphingomyelinase (N-SMase) activation associated factor
ENSMUSG00000041272,Tox,thymocyte selection-associated high mobility group box
ENSMUSG00000041261,Car8,carbonic anhydrase 8
ENSMUSG00000047187,Rab2a,"RAB2A, member RAS oncogene family"
ENSMUSG00000041235,Chd7,chromodomain helicase DNA binding protein 7
ENSMUSG00000028207,Asph,aspartate-beta-hydroxylase
ENSMUSG00000085558,NA,NA
ENSMUSG00000051279,Gdf6,growth differentiation factor 6
ENSMUSG00000066315,Gm12918,ribosomal protein L13 pseudogene
ENSMUSG00000059482,Cfap418,cilia and flagella associated protein 418
ENSMUSG00000049969,Plekhf2,"pleckstrin homology domain containing, family F (with FYVE domain) member 2"
ENSMUSG00000050323,Ndufaf6,NADH:ubiquinone oxidoreductase complex assembly factor 6
ENSMUSG00000086765,Gm11827,predicted gene 11827
ENSMUSG00000028211,Trp53inp1,transformation related protein 53 inducible nuclear protein 1
ENSMUSG00000028212,Ccne2,cyclin E2
ENSMUSG00000040738,Ints8,integrator complex subunit 8
ENSMUSG00000045205,Dpy19l4,dpy-19-like 4 (C. elegans)
ENSMUSG00000040728,Esrp1,epithelial splicing regulatory protein 1
ENSMUSG00000081884,NA,NA
ENSMUSG00000040720,Virma,vir like m6A methyltransferase associated
ENSMUSG00000078773,Rad54b,RAD54 homolog B (S. cerevisiae)
ENSMUSG00000094595,Fsbp,fibrinogen silencer binding protein
ENSMUSG00000086103,Gm11832,predicted gene 11832
ENSMUSG00000028214,Gem,GTP binding protein (gene overexpressed in skeletal muscle)
ENSMUSG00000028217,Cdh17,cadherin 17
ENSMUSG00000049225,Pdp1,pyruvate dehydrogenase phosphatase catalytic subunit 1
ENSMUSG00000085614,NA,NA
ENSMUSG00000049488,Tmem67,transmembrane protein 67
ENSMUSG00000052137,Rbm12b2,RNA binding motif protein 12 B2
ENSMUSG00000083246,Gm11839,"poly A binding protein, cytoplasmic 4 pseudogene"
ENSMUSG00000046667,Rbm12b1,RNA binding motif protein 12 B1
ENSMUSG00000028218,Cibar1,CBY1 interacting BAR domain containing 1
ENSMUSG00000060989,NA,NA
ENSMUSG00000055963,Triqk,triple QxxK/R motif containing
ENSMUSG00000083328,Gm11826,predicted gene 11826
ENSMUSG00000006586,Runx1t1,RUNX1 translocation partner 1
ENSMUSG00000081239,NA,NA
ENSMUSG00000040550,Otud6b,OTU domain containing 6B
ENSMUSG00000028221,Pip4p2,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2"
ENSMUSG00000040536,Necab1,N-terminal EF-hand calcium binding protein 1
ENSMUSG00000043252,Tmem64,transmembrane protein 64
ENSMUSG00000028223,Decr1,"2,4-dienoyl CoA reductase 1, mitochondrial"
ENSMUSG00000028224,Nbn,nibrin
ENSMUSG00000041153,Osgin2,oxidative stress induced growth inhibitor family member 2
ENSMUSG00000041135,Ripk2,receptor (TNFRSF)-interacting serine-threonine kinase 2
ENSMUSG00000085112,A530072M11Rik,RIKEN cDNA gene A530072M11
ENSMUSG00000028226,Mmp16,matrix metallopeptidase 16
ENSMUSG00000028228,Cpne3,copine III
ENSMUSG00000028229,Rmdn1,regulator of microtubule dynamics 1
ENSMUSG00000041058,Wwp1,WW domain containing E3 ubiquitin protein ligase 1
ENSMUSG00000073988,Ttpa,tocopherol (alpha) transfer protein
ENSMUSG00000073987,Ggh,gamma-glutamyl hydrolase
ENSMUSG00000028252,Ccnc,cyclin C
ENSMUSG00000028251,Tstd3,thiosulfate sulfurtransferase (rhodanese)-like domain containing 3
ENSMUSG00000040455,Usp45,ubiquitin specific petidase 45
ENSMUSG00000028248,Pnisr,PNN interacting serine/arginine-rich
ENSMUSG00000028247,Coq3,coenzyme Q3 methyltransferase
ENSMUSG00000028246,Faxc,failed axon connections homolog
ENSMUSG00000040410,Fbxl4,F-box and leucine-rich repeat protein 4
ENSMUSG00000081810,Gm11878,predicted gene 11878
ENSMUSG00000045751,Mms22l,"MMS22-like, DNA repair protein"
ENSMUSG00000040387,Klhl32,kelch-like 32
ENSMUSG00000028261,Ndufaf4,NADH:ubiquinone oxidoreductase complex assembly factor 4
ENSMUSG00000028259,Fhl5,four and a half LIM domains 5
ENSMUSG00000040359,Ufl1,UFM1 specific ligase 1
ENSMUSG00000040520,Manea,"mannosidase, endo-alpha"
ENSMUSG00000082674,Gm11914,high-mobility group nucleosome binding domain 5 pseudogene
ENSMUSG00000028289,Epha7,Eph receptor A7
ENSMUSG00000028284,Map3k7,mitogen-activated protein kinase kinase kinase 7
ENSMUSG00000040270,Bach2,"BTB and CNC homology, basic leucine zipper transcription factor 2"
ENSMUSG00000086150,Bach2os,"BTB and CNC homology 2, opposite strand"
ENSMUSG00000028282,Casp8ap2,caspase 8 associated protein 2
ENSMUSG00000058006,Mdn1,midasin AAA ATPase 1
ENSMUSG00000045854,Lyrm2,LYR motif containing 2
ENSMUSG00000040183,Ankrd6,ankyrin repeat domain 6
ENSMUSG00000094344,NA,NA
ENSMUSG00000028278,Rragd,Ras-related GTP binding D
ENSMUSG00000085037,4933421O10Rik,RIKEN cDNA 4933421O10 gene
ENSMUSG00000028277,Ube2j1,ubiquitin-conjugating enzyme E2J 1
ENSMUSG00000023267,Gabrr2,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 2"
ENSMUSG00000028280,Gabrr1,"gamma-aminobutyric acid (GABA) C receptor, subunit rho 1"
ENSMUSG00000054659,Pm20d2,peptidase M20 domain containing 2
ENSMUSG00000054679,Srsf12,serine and arginine-rich splicing factor 12
ENSMUSG00000040128,Pnrc1,proline-rich nuclear receptor coactivator 1
ENSMUSG00000028274,Rngtt,RNA guanylyltransferase and 5'-phosphatase
ENSMUSG00000044288,Cnr1,cannabinoid receptor 1 (brain)
ENSMUSG00000062554,NA,NA
ENSMUSG00000095588,NA,NA
ENSMUSG00000028291,Akirin2,akirin 2
ENSMUSG00000040044,Orc3,"origin recognition complex, subunit 3"
ENSMUSG00000028292,Rars2,"arginyl-tRNA synthetase 2, mitochondrial"
ENSMUSG00000028293,Slc35a1,"solute carrier family 35 (CMP-sialic acid transporter), member 1"
ENSMUSG00000028295,Smim8,small integral membrane protein 8
ENSMUSG00000039967,Zfp292,zinc finger protein 292
ENSMUSG00000073910,Mob3b,MOB kinase activator 3B
ENSMUSG00000028300,C9orf72,"C9orf72, member of C9orf72-SMCR8 complex"
ENSMUSG00000082762,Gm12366,ribosomal protein S2 pseudogene
ENSMUSG00000028405,Aco1,aconitase 1
ENSMUSG00000040296,Rigi,RNA sensor RIG-I
ENSMUSG00000036822,Topors,"topoisomerase I binding, arginine/serine-rich"
ENSMUSG00000028407,Smim27,small integral membrane protein 27
ENSMUSG00000071014,Ndufb6,NADH:ubiquinone oxidoreductase subunit B6
ENSMUSG00000028411,Aptx,aprataxin
ENSMUSG00000097123,NA,NA
ENSMUSG00000028410,Dnaja1,DnaJ heat shock protein family (Hsp40) member A1
ENSMUSG00000028409,Smu1,smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)
ENSMUSG00000056412,NA,NA
ENSMUSG00000028413,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1"
ENSMUSG00000081309,NA,NA
ENSMUSG00000028415,Spink4,"serine peptidase inhibitor, Kazal type 4"
ENSMUSG00000028416,Bag1,BCL2-associated athanogene 1
ENSMUSG00000028419,Chmp5,charged multivesicular body protein 5
ENSMUSG00000028423,Nfx1,"nuclear transcription factor, X-box binding 1"
ENSMUSG00000028427,Aqp7,aquaporin 7
ENSMUSG00000028435,Aqp3,aquaporin 3
ENSMUSG00000028430,Nol6,nucleolar protein family 6 (RNA-associated)
ENSMUSG00000036241,Ube2r2,ubiquitin-conjugating enzyme E2R 2
ENSMUSG00000028433,Ubap2,ubiquitin-associated protein 2
